#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-02-21T13:31:39 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-21T13:31:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=Vmag&-out=RAICRS&-out=DEICRS&HIPep=HIPep&Erratum=Erratum&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
_RAJ2000	_DEJ2000	HIP	Vmag	RAICRS	DEICRS
053.5756971018	+44.2699010593	 16655	 9.44	053.57565491	+44.26994916
053.5797692231	+59.7349277646	 16656	 7.77	053.57976985	+59.73493440
053.5805342978	+45.3241054419	 16657	 9.10	053.58049800	+45.32411881
053.5838210738	-14.7104504842	 16658	 7.92	053.58381547	-14.71044363
053.5841944770	+23.1501048094	 16659	 9.76	053.58420550	+23.15012474
053.5907978721	+08.6624332464	 16660	 8.91	053.59078612	+08.66244467
053.6034143088	-65.7642219443	 16661	 6.74	053.60311790	-65.76425833
053.6055278676	+20.3740986406	 16662	 8.14	053.60551340	+20.37411721
053.6105531683	+06.0380270219	 16663	10.95	053.61059027	+06.03806839
053.6109372098	+24.4643928883	 16664	 5.95	053.61093000	+24.46447543
053.6238704852	-52.1238424624	 16665	 9.08	053.62388541	-52.12386757
053.6243673716	-34.8324168707	 16666	 7.04	053.62439947	-34.83229352
053.6248848232	+45.8082969718	 16667	 9.37	053.62483524	+45.80835601
053.6262519371	+22.7594243803	 16668	 8.22	053.62620987	+22.75946254
053.6299304062	+29.5652835940	 16669	10.23	053.62989855	+29.56530666
053.6389321495	-64.7093832783	 16670	 7.98	053.63899826	-64.70943957
053.6390614770	+14.1758456369	 16671	 8.79	053.63917895	+14.17580913
053.6399537427	-31.8748011236	 16672	 6.39	053.63990978	-31.87479845
053.6428794418	-50.9726877964	 16673	 9.02	053.64286103	-50.97268872
053.6455899887	+18.8738721126	 16674	 9.24	053.64553168	+18.87395813
053.6456642014	+00.6804804235	 16675	 8.56	053.64562232	+00.68052692
053.6514699128	+33.0009752232	 16676	 9.09	053.65145719	+33.00098181
053.6561293725	-09.8682612415	 16677	 6.25	053.65607976	-09.86827337
053.6568067264	+58.6453573175	 16678	 9.26	053.65680355	+58.64536213
053.6575635960	-10.7949239737	 16679	 8.84	053.65758250	-10.79485113
053.6578545610	-22.1450814604	 16680	 9.07	053.65783118	-22.14502845
053.6589252302	-12.2978813307	 16681	 7.68	053.65879346	-12.29771598
053.6599549280	-62.5572906380	 16682	 6.97	053.65974993	-62.55735235
053.6600466964	-31.0730558927	 16683	11.42	053.66019057	-31.07183274
053.6605969054	+63.8889294832	 16684	 7.77	053.66061027	+63.88892907
053.6611192147	-53.5204744039	 16685	 8.82	053.66107216	-53.52048189
053.6639655822	-07.3757484049	 16686	 8.22	053.66389316	-07.37575120
053.6766490857	-16.2362157303	 16687	 8.92	053.67666349	-16.23614189
053.6772597065	+44.8031203110	 16688	 7.52	053.67725080	+44.80313137
053.6787353231	-54.3222727728	 16690	 6.84	053.67851149	-54.32239503
053.6785616693	+06.8432905351	 16689	 9.58	053.67851621	+06.84341374
053.6852869430	-47.2700257617	 16691	10.24	053.68445459	-47.27019148
053.6872976243	+38.8055994689	 16692	 7.91	053.68710590	+38.80574066
053.6887069217	-62.4568340677	 16693	 9.43	053.68840879	-62.45702370
053.6944751065	-53.7416571696	 16694	 9.06	053.69451834	-53.74158243
053.7045055129	-44.6433713086	 16696	 7.83	053.70453964	-44.64338876
053.7045063730	+06.4176912876	 16695	 6.49	053.70456368	+06.41773268
053.7183582293	-25.5828252022	 16697	 6.48	053.71821945	-25.58290648
053.7222129018	+03.3605061679	 16698	 8.35	053.72221838	+03.36054372
053.7246984161	-03.4119738779	 16699	 7.52	053.72461378	-03.41192393
053.7275889284	+67.2802242101	 16700	 9.00	053.72755268	+67.28025204
053.7355731610	+19.8101391250	 16701	 8.70	053.73550997	+19.81018550
053.7381136610	-19.8380863135	 16702	 9.71	053.73809361	-19.83807681
053.7393512972	+21.0176296975	 16703	 8.60	053.73934083	+21.01765901
053.7397984648	+26.6082805286	 16704	 8.40	053.73978142	+26.60826823
053.7412418445	+29.3133243851	 16705	 8.94	053.74122682	+29.31333909
053.7437260871	+19.3127830305	 16707	 9.18	053.74364174	+19.31284185
053.7439384068	+17.7105675762	 16706	 9.85	053.74376659	+17.71066842
053.7445511494	-40.0321016597	 16708	 9.76	053.74458921	-40.03177650
053.7485260999	+34.6109894415	 16709	10.87	053.74793118	+34.61139362
053.7513691405	+02.6618216867	 16710	10.67	053.75135077	+02.66183627
053.7539155308	-48.4191415562	 16711	 8.57	053.75243400	-48.41988884
053.7542044384	+60.0414290755	 16712	 6.43	053.75431434	+60.04137677
053.7550061747	+32.0167708538	 16713	 6.66	053.75484857	+32.01687284
053.7589112132	+62.5253216615	 16714	 8.16	053.75890742	+62.52533204
053.7644027932	+11.0458404858	 16715	 7.99	053.76444306	+11.04586834
053.7646844453	+45.4494188936	 16716	 7.53	053.76472706	+45.44943022
053.7656526131	-24.3073228936	 16717	 7.42	053.76565424	-24.30739372
053.7751838978	+27.9480435679	 16718	 9.79	053.77527819	+27.94807412
053.7759496288	+38.5856701882	 16719	 7.01	053.77585389	+38.58574065
053.7761779909	-35.9376250972	 16720	 7.76	053.77616127	-35.93762850
053.7769311049	-04.8986566172	 16721	 8.44	053.77689705	-04.89866702
053.7831781125	-57.8102485683	 16722	 7.42	053.78311880	-57.81037311
053.7923248823	+05.7140115082	 16723	 7.48	053.79230644	+05.71409597
053.7994777376	+38.0151709056	 16724	 7.60	053.79947166	+38.01519735
053.8012985498	+73.3469277985	 16725	 6.56	053.80122561	+73.34698742
053.8027732545	-39.9455569897	 16726	 8.50	053.80276796	-39.94558533
053.8037619854	-00.7388988314	 16727	 8.54	053.80350661	-00.73861013
053.8049091339	+01.7795368515	 16728	 8.75	053.80485994	+01.77954373
053.8092526514	+42.5908051260	 16729	 8.82	053.80925176	+42.59079956
053.8123281638	-67.8628285686	 16730	 8.72	053.81226921	-67.86282327
053.8133489868	+70.0269331962	 16731	 9.53	053.81311417	+70.02700062
053.8144841535	-49.4173999822	 16732	 7.85	053.81427743	-49.41747409
053.8195482452	+02.0300026898	 16733	 9.18	053.81931209	+02.03007286
053.8215276481	-08.7681990194	 16734	 9.08	053.82147497	-08.76821895
053.8220455152	+42.5919474525	 16735	 9.55	053.82205367	+42.59195314
053.8239803109	-24.8961484167	 16736	 8.74	053.82393926	-24.89612800
053.8265482978	+18.9030794982	 16737	 7.57	053.82653314	+18.90317971
053.8303096997	+11.3967582673	 16738	 8.29	053.82987121	+11.39675766
053.8300372029	+05.7252888422	 16739	12.16	053.83001749	+05.72537887
053.8350951187	+26.8501072744	 16740	 8.56	053.83501350	+26.85018583
053.8381352760	-48.1149848764	 16741	 9.06	053.83812126	-48.11496480
053.8388784605	+26.8526866844	 16742	 8.67	053.83879684	+26.85276524
053.8402828842	-23.9466624376	 16743	 8.71	053.84026347	-23.94663558
053.8453544842	+33.6763485828	 16744	 8.48	053.84530676	+33.67636618
053.8530070828	-28.3366097326	 16745	 8.82	053.85265243	-28.33627874
053.8538839154	-63.6654651783	 16746	 9.40	053.85388923	-63.66549347
053.8599051878	+35.4798444577	 16747	 8.43	053.86007132	+35.47992243
053.8671102810	+14.1748461543	 16748	 9.87	053.86720825	+14.17503688
053.8688749832	+59.5283989397	 16749	 8.03	053.86885677	+59.52840803
053.8733966309	+39.1637643763	 16750	 9.38	053.87339754	+39.16378472
053.8779992573	-27.1857130193	 16751	11.68	053.87796390	-27.18568587
053.8788333006	-26.4298749401	 16752	 8.78	053.87877166	-26.42991502
053.8820648976	+22.8235884539	 16753	 9.86	053.88200182	+22.82369569
053.8864896997	-11.0752229815	 16755	 8.87	053.88643125	-11.07517211
053.8888777913	+86.3997350826	 16754	 9.05	053.88797052	+86.39978559
053.8905986690	-59.2646185699	 16756	 9.86	053.89058307	-59.26463449
053.9078176608	+31.6804429057	 16757	 6.86	053.90763521	+31.68044276
053.9085360831	-52.5566457250	 16758	 8.04	053.90850578	-52.55667285
053.9099363217	+43.2905552397	 16759	 9.44	053.90992016	+43.29055033
053.9123547004	+12.0396230987	 16760	10.49	053.91218660	+12.04045063
053.9251293227	+39.3097883186	 16761	 8.89	053.92512015	+39.30980752
053.9273344954	-53.2060841157	 16762	 8.10	053.92702612	-53.20600838
053.9306969745	-31.1498804579	 16763	 8.47	053.93066545	-31.14985501
053.9321066762	+35.5108133754	 16764	 9.16	053.93212495	+35.51081899
053.9332836492	-28.7077665639	 16765	 9.70	053.93331416	-28.70781780
053.9368306962	-03.8644960514	 16766	 8.73	053.93708310	-03.86405160
053.9394666775	+61.1706644949	 16767	 8.67	053.93949435	+61.17067954
053.9426561469	-82.3139602728	 16768	 9.35	053.94206643	-82.31400011
053.9424353512	-30.7385452194	 16769	 8.45	053.94245656	-30.73853015
053.9534785507	-09.0607525366	 16770	 8.64	053.95370863	-09.06024562
053.9557283302	+64.2235800386	 16771	 8.42	053.95562627	+64.22361324
053.9575573456	-43.7163863286	 16772	 7.02	053.95750428	-43.71642828
053.9607492907	-26.7873814208	 16773	 8.60	053.96069391	-26.78735415
053.9675575320	+42.8867523296	 16774	 7.90	053.96754350	+42.88681409
053.9708473626	-69.1929870447	 16775	 8.64	053.97079365	-69.19301276
053.9786094929	-20.1522075049	 16776	 8.66	053.97855955	-20.15219105
053.9803716946	-10.1908017299	 16777	 9.00	053.98036073	-10.19074590
053.9813094201	+09.5659321268	 16778	11.40	053.98132660	+09.56605154
053.9885276979	-05.1249540267	 16779	 6.49	053.98854090	-05.12494411
053.9902756974	-11.1937820172	 16780	 5.56	053.99021710	-11.19397792
053.9913267956	-84.1631555819	 16781	 9.46	053.99149338	-84.16307795
053.9937054629	+47.0910295586	 16782	 6.89	053.99362928	+47.09109076
053.9968598276	-23.5181411302	 16783	 8.85	053.99714852	-23.51803212
053.9999481080	+23.9141253250	 16784	 9.02	053.99993843	+23.91414195
054.0012113152	-61.5424692462	 16785	 7.65	054.00106477	-61.54261384
054.0014313358	+08.7601955931	 16786	12.45	054.00136742	+08.76013760
054.0032572283	+34.1437580910	 16787	10.29	054.00322325	+34.14378140
054.0132402488	+16.4674084933	 16788	 7.65	054.01396137	+16.46808013
054.0158947486	+63.2881223614	 16789	 7.33	054.01586874	+63.28812241
054.0189541658	+46.5844832865	 16790	 7.32	054.01905156	+46.58446479
054.0204719527	+27.5931919050	 16791	 7.39	054.02031042	+27.59320486
054.0332346923	-17.0841693489	 16792	 8.99	054.03343140	-17.08393079
054.0394597179	+42.3394136284	 16793	 8.32	054.03899417	+42.33976798
054.0421046552	-51.2160055277	 16794	 8.60	054.04220822	-51.21553400
054.0472818258	+29.9833100244	 16795	 7.62	054.04726903	+29.98335533
054.0488151188	+08.8864567161	 16796	 7.60	054.04878700	+08.88647898
054.0510217007	-73.9738192854	 16797	 7.62	054.05077748	-73.97396998
054.0527557170	-28.7489771816	 16798	 8.43	054.05246679	-28.74892755
054.0540279547	-18.5502566215	 16799	 7.86	054.05395840	-18.55007100
054.0617686282	-47.2008042434	 16800	 7.98	054.06162532	-47.20089274
054.0650675227	-05.5873676612	 16801	 9.40	054.06504188	-05.58735563
054.0694655083	+17.8120703917	 16802	 8.60	054.06944654	+17.81208060
054.0725524174	-17.4670645248	 16803	 5.24	054.07246744	-17.46704107
054.0754098332	-45.4474882017	 16804	 9.34	054.07535454	-45.44757716
054.0819691627	+25.3989885272	 16805	 9.27	054.08190709	+25.39901643
054.0826236633	+28.9612768399	 16806	 8.16	054.08258780	+28.96141876
054.0855916137	-61.4913427350	 16807	 9.24	054.08560078	-61.49136986
054.0894447707	+19.5593155225	 16808	 8.36	054.08941957	+19.55937896
054.0903482845	-01.5685284033	 16809	 8.93	054.09035767	-01.56850157
054.0913235269	+55.8868362157	 16810	 6.81	054.09129436	+55.88686599
054.0968380355	+18.3619900961	 16811	 8.73	054.09678528	+18.36198786
054.0988646520	-73.3951334951	 16812	 8.48	054.09860439	-73.39518653
054.1014298852	+20.0676121929	 16813	 7.47	054.10118235	+20.06773445
054.1038085399	-74.3920437688	 16814	10.01	054.10364783	-74.39203813
054.1041833141	-19.3767069810	 16816	 7.34	054.10418486	-19.37671629
054.1041050330	-79.0987019769	 16815	 6.84	054.10429036	-79.09864272
054.1048663682	-27.8886147381	 16817	 9.47	054.10467775	-27.88849970
054.1085663455	+67.9521906690	 16818	 8.20	054.10813149	+67.95214918
054.1086067075	+51.4401273201	 16819	10.23	054.10872548	+51.44020765
054.1090761397	+52.9314045917	 16820	 7.21	054.10907743	+52.93142880
054.1116904233	-77.1161864353	 16821	 9.02	054.11129604	-77.11624613
054.1138839383	+12.0071950785	 16822	 8.41	054.11387872	+12.00731420
054.1163394602	-03.6328941854	 16823	 8.50	054.11632268	-03.63289630
054.1200287895	+23.7972924127	 16824	 8.62	054.11988800	+23.79754451
054.1223745239	-52.7776975775	 16825	 7.66	054.12221561	-52.77775122
054.1224118918	+48.1926336453	 16826	 4.32	054.12233383	+48.19270068
054.1255940400	-78.3230732684	 16827	 6.29	054.12576577	-78.32308914
054.1259875072	+21.7802025476	 16828	 8.89	054.12598913	+21.78018794
054.1271695269	-34.7895330774	 16829	 8.87	054.12714588	-34.78953806
054.1284847314	+10.1854058585	 16830	 9.26	054.12852165	+10.18547773
054.1290434998	+16.6782847479	 16831	 9.47	054.12905304	+16.67834330
054.1398668904	+73.6618057763	 16832	 8.24	054.13972424	+73.66184345
054.1420262807	-02.8164692012	 16833	 9.00	054.14198002	-02.81646942
054.1617595098	-13.3186046817	 16834	 9.67	054.16168208	-13.31859039
054.1659365694	+29.2240305249	 16835	 6.53	054.16579754	+29.22404365
054.1745797360	+75.7434331378	 16836	 8.24	054.17452111	+75.74341661
054.1763714048	-39.3836700200	 16837	 9.37	054.17630087	-39.38367002
054.1790957428	+12.4743725228	 16838	 8.93	054.17908708	+12.47440587
054.1812343880	-52.0145093085	 16839	 9.44	054.18120860	-52.01450068
054.1842476971	-83.4491489961	 16840	 8.87	054.18447438	-83.44915551
054.1871186898	+13.2918334646	 16841	 8.45	054.18710378	+13.29185760
054.1930379892	-07.1212637290	 16842	 9.85	054.19303238	-07.12127017
054.1955282376	+34.3475895812	 16843	 6.88	054.19544890	+34.34767205
054.1954872922	+44.0771281243	 16844	 9.03	054.19548895	+44.07713510
054.1959852915	+04.4743638596	 16845	 8.75	054.19593719	+04.47437487
054.1970397761	+00.5877577057	 16846	 5.82	054.19711994	+00.58815498
054.1988943266	-14.0993803372	 16847	 8.07	054.19890816	-14.09904074
054.2074531461	-22.4849353010	 16848	 8.41	054.20743297	-22.48490086
054.2100295054	-77.0899228616	 16850	 8.19	054.20962971	-77.08998348
054.2097162287	+70.7895127860	 16849	10.17	054.20973344	+70.78950547
054.2142437796	-33.7806709122	 16851	 6.93	054.21412023	-33.78071194
054.2182633801	+00.4016616322	 16852	 4.29	054.21882896	+00.40283316
054.2225183166	-49.9580131359	 16853	 7.62	054.22217845	-49.95801756
054.2270015051	-17.8752941903	 16854	10.17	054.22700577	-17.87529735
054.2285394244	-36.0815669403	 16855	 9.39	054.22793986	-36.08162598
054.2288895685	+35.0520745061	 16856	 7.46	054.22886736	+35.05208802
054.2342499054	-68.4381238850	 16857	 7.80	054.23428800	-68.43814751
054.2351580390	-28.1376447459	 16858	10.93	054.23537711	-28.13704401
054.2417704501	+23.2110691550	 16859	 6.72	054.24181123	+23.21111378
054.2420977291	-28.1314558515	 16860	 8.86	054.24229777	-28.13086406
054.2500745631	-38.2855866488	 16861	 9.62	054.24961247	-38.28564299
054.2501140407	+74.6392337844	 16862	 9.70	054.24994567	+74.63922484
054.2510779405	+50.9403167921	 16863	11.52	054.25105769	+50.94032474
054.2559761159	-41.5276445690	 16864	 9.67	054.25541318	-41.52783831
054.2603234686	+15.8224261868	 16865	10.11	054.26033658	+15.82241085
054.2640050831	-53.0778566997	 16866	 8.01	054.26393270	-53.07785179
054.2656992604	-40.8972032965	 16867	 8.59	054.26570373	-40.89717430
054.2692510477	-36.2922251761	 16868	 7.24	054.26923986	-36.29224569
054.2696627732	+47.2614476926	 16869	 7.68	054.26968924	+47.26145321
054.2736676244	-40.2745453368	 16870	 4.57	054.27365880	-40.27451075
054.2796158622	+53.7721459183	 16871	 9.35	054.27905638	+53.77237918
054.2799571380	+31.1252404500	 16872	 7.79	054.27996841	+31.12527020
054.2834075580	+53.9832528977	 16874	 8.51	054.28330943	+53.98330462
054.2832412013	-00.3545430836	 16873	 9.73	054.28332005	-00.35444066
054.2843095142	+65.3536087769	 16875	 8.10	054.28432834	+65.35365627
054.2879149803	-29.8301144371	 16876	 7.30	054.28794919	-29.83006551
054.2908328196	-17.8765385286	 16877	 8.21	054.29082881	-17.87649123
054.2932148745	-38.4242702797	 16878	 9.10	054.29315478	-38.42431087
054.2959913956	+25.9910956621	 16879	 7.28	054.29534916	+25.99175641
054.3081990351	+49.5575329573	 16880	10.10	054.30813871	+49.55759569
054.3087344787	-44.4720274311	 16881	 8.55	054.30875202	-44.47204707
054.3168242141	-70.5445178310	 16882	 9.73	054.31762984	-70.54406468
054.3222633605	-46.3020902373	 16883	 9.52	054.32211134	-46.30219322
054.3223224969	-33.2647985835	 16884	 9.10	054.32232552	-33.26487833
054.3232304504	+47.3482510976	 16885	 9.18	054.32313492	+47.34830824
054.3268332101	-33.8601759728	 16886	 8.01	054.32680997	-33.86016732
054.3296206891	+73.0835346849	 16887	 9.29	054.32791215	+73.08393306
054.3311818338	+54.5462572424	 16888	 9.48	054.33118087	+54.54628410
054.3326676471	-30.1830842925	 16889	 8.32	054.33264923	-30.18311623
054.3351965076	+62.9344953981	 16890	 8.04	054.33522546	+62.93449953
054.3361871976	+15.0954073629	 16891	 8.24	054.33623956	+15.09555779
054.3390153626	-34.6496709877	 16892	 8.37	054.33877427	-34.64968229
054.3418921937	+69.5018290004	 16893	 9.35	054.34188088	+69.50182674
054.3435678447	+40.5380941164	 16894	 7.81	054.34362989	+40.53814054
054.3439736905	+03.2733963360	 16895	10.42	054.34402372	+03.27344327
054.3445372491	+18.5968846428	 16896	 8.73	054.34417225	+18.59689473
054.3470060299	+40.0897487089	 16897	 7.01	054.34699383	+40.08977982
054.3508571849	-80.8542743514	 16899	 8.36	054.35037779	-80.85426531
054.3509758198	-46.9790249665	 16898	 8.73	054.35102972	-46.97891372
054.3663689342	+31.1202237623	 16900	 6.96	054.36676528	+31.12017469
054.3676774979	-42.4695445581	 16901	 8.53	054.36747070	-42.46956410
054.3683669392	-09.6641206924	 16902	 9.19	054.36833289	-09.66404430
054.3725924400	-66.5245054053	 16903	 8.64	054.37240781	-66.52458452
054.3806568909	-33.9496428139	 16904	 8.56	054.38066070	-33.94963280
054.3865919418	+28.4417993601	 16905	 9.16	054.38655117	+28.44181844
054.3868327196	+45.0541337335	 16906	 8.49	054.38682054	+45.05420823
054.3922649659	+65.8076723530	 16907	 8.55	054.39219664	+65.80769311
054.3957245581	+21.3431740867	 16908	 9.35	054.39535518	+21.34324066
054.3972997530	+06.3803244014	 16909	10.05	054.39730034	+06.38033845
054.3983301079	-00.3150278993	 16911	 9.96	054.39831375	-00.31502875
054.4002606442	-80.8604677146	 16910	 9.11	054.39996501	-80.86047243
054.4093342067	+43.5581787314	 16912	 8.29	054.40935423	+43.55819453
054.4099522096	+01.1225353133	 16913	 7.37	054.40991431	+01.12255048
054.4207582318	-74.8225702193	 16914	 6.89	054.42123987	-74.82256689
054.4293417377	+48.1173216196	 16915	 8.88	054.42921151	+48.11736921
054.4337684420	-20.4675358715	 16916	10.24	054.43370706	-20.46756900
054.4339443352	+56.7393858782	 16917	 6.53	054.43395927	+56.73938634
054.4365947810	+07.2717802262	 16918	 9.16	054.43655271	+07.27180057
054.4373644308	-20.4673325375	 16919	10.49	054.43726870	-20.46738810
054.4383469476	+40.7637155868	 16920	 9.65	054.43834069	+40.76370200
054.4393430142	-15.4849304699	 16921	 7.05	054.43932029	-15.48486589
054.4403185574	-49.0055376286	 16922	 7.55	054.44030759	-49.00553758
054.4483121462	-24.7599175868	 16923	 9.64	054.44827818	-24.75994250
054.4493001260	+15.4305516643	 16924	 6.40	054.44924357	+15.43062339
054.4579116569	+04.1454667222	 16925	 7.22	054.45786633	+04.14543075
054.4599304354	+00.1410784737	 16926	 7.18	054.45985589	+00.14110013
054.4604768760	+47.0940409976	 16927	 8.92	054.46038905	+47.09427489
054.4626720546	-13.9615620634	 16928	 8.45	054.46255106	-13.96157706
054.4665699598	+00.9735618575	 16929	 9.55	054.46654638	+00.97357367
054.4686102899	+05.6413198851	 16930	 7.78	054.46868532	+05.64127859
054.4725224690	-11.5489357264	 16931	 9.47	054.47253847	-11.54865315
054.4735996264	-22.0988735162	 16932	 9.39	054.47377431	-22.09870836
054.4766390458	-02.5116541930	 16933	 9.63	054.47635992	-02.51170645
054.4790426077	+09.9328346151	 16934	 7.92	054.47899074	+09.93288432
054.4844390837	+37.4308876722	 16935	 7.34	054.48437649	+37.43090070
054.4900809462	-08.4952398662	 16936	 9.99	054.49021407	-08.49504846
054.4965376315	+67.9945577183	 16937	 8.17	054.49652122	+67.99458076
054.5007564699	+42.5828430126	 16938	 6.41	054.50069342	+42.58290278
054.5017595667	-71.7599381693	 16939	 8.69	054.50174357	-71.75994602
054.5028950712	-38.7740949944	 16940	 8.61	054.50294779	-38.77404580
054.5043207404	+55.1708552654	 16941	 7.66	054.50432789	+55.17086613
054.5110153317	-59.7759029786	 16942	 8.35	054.51089042	-59.77601143
054.5123241761	-28.5716476254	 16943	10.97	054.51241642	-28.57086049
054.5127344987	+18.4809945407	 16944	 9.91	054.51280177	+18.48099719
054.5133659878	-51.5919547200	 16945	 9.85	054.51337526	-51.59203697
054.5139707111	-29.5282147193	 16947	11.48	054.51396613	-29.52820857
054.5141517478	-32.7412128411	 16946	 8.40	054.51417238	-32.74118873
054.5144622144	+48.2413241775	 16948	 8.56	054.51447663	+48.24132374
054.5194516686	-04.3317730822	 16949	 9.27	054.51938861	-04.33179836
054.5203344775	+20.2338525044	 16950	 9.45	054.52015763	+20.23396256
054.5209830146	-46.0752816390	 16951	 9.61	054.52117789	-46.07525991
054.5218767718	-57.2853187925	 16952	 7.43	054.52184718	-57.28533323
054.5223209118	-31.0105241600	 16953	 9.29	054.52241166	-31.01063266
054.5258903223	-37.2181053120	 16954	 9.99	054.52516580	-37.21835571
054.5255981938	+46.2763337165	 16955	 9.08	054.52560164	+46.27635547
054.5329882898	-12.2431372157	 16956	 9.17	054.53299212	-12.24311974
054.5343326447	+35.1811841596	 16957	 8.98	054.53434564	+35.18121617
054.5413361492	-31.2995655851	 16958	 7.25	054.54134016	-31.29962054
054.5426552201	-59.7763809212	 16959	 6.96	054.54253190	-59.77648614
054.5433022865	-07.4833439044	 16960	 7.99	054.54331675	-07.48338221
054.5455724352	+19.3604137714	 16961	 7.72	054.54551988	+19.36045757
054.5544075072	+49.0830254224	 16962	 7.18	054.55445241	+49.08303653
054.5564886265	-60.9657144708	 16963	 9.08	054.55642207	-60.96572745
054.5642606092	+43.4817808032	 16964	 8.62	054.56417030	+43.48185914
054.5642038409	+51.5895757151	 16965	10.38	054.56417673	+51.58960792
054.5649211794	+47.5769815800	 16966	 7.45	054.56484649	+47.57704633
054.5650700874	-34.3291992594	 16967	 9.26	054.56504351	-34.32921744
054.5664968926	+68.7936794687	 16968	 9.44	054.56651826	+68.79364775
054.5693383965	+39.1955601511	 16969	 8.99	054.56927793	+39.19563054
054.5694374744	-49.3683699728	 16970	 7.51	054.56937615	-49.36838932
054.5721599226	-02.5583983528	 16971	 8.50	054.57209068	-02.55850695
054.5785373614	+44.8017476218	 16972	 7.22	054.57845789	+44.80181716
054.5808373129	+52.5990764625	 16973	 9.00	054.58075740	+52.59910840
054.5822230198	+56.9327131279	 16974	 6.29	054.58210319	+56.93279793
054.5827581884	-57.6412587599	 16975	 8.66	054.58277213	-57.64132368
054.5832493842	+57.6863052132	 16976	 8.79	054.58327662	+57.68630655
054.5852653017	-11.2014606503	 16977	 7.81	054.58517137	-11.20153556
054.5926973104	-24.0073033776	 16978	 9.69	054.59259152	-24.00726602
054.5940767443	+22.4996828446	 16979	10.09	054.59402326	+22.49978748
054.5945388719	+44.8005381445	 16980	 7.56	054.59444618	+44.80062003
054.5999309797	-36.6250033112	 16981	 8.58	054.59989809	-36.62504028
054.6013779906	-37.2723901955	 16982	 8.15	054.60128862	-37.27244814
054.6074082559	+17.5992632281	 16983	 8.93	054.60739288	+17.59924286
054.6096564649	-46.2435187615	 16984	 8.02	054.60956632	-46.24334539
054.6098920409	+15.1496348715	 16985	 7.35	054.60988285	+15.14977475
054.6122373395	+49.2056762254	 16986	 6.87	054.61218708	+49.20571509
054.6168403882	+36.2544808046	 16987	10.33	054.61684506	+36.25449094
054.6203872967	-05.9215648865	 16988	 8.76	054.62037134	-05.92147114
054.6218900820	-07.3918629639	 16989	 5.86	054.62189268	-07.39170945
054.6319953766	-56.1429954521	 16990	 7.96	054.63197954	-56.14306290
054.6331565156	+13.6059625558	 16991	 8.93	054.63335865	+13.60616716
054.6372461326	-59.8205124039	 16992	 8.61	054.63720726	-59.82047789
054.6382912201	-32.3806209481	 16993	 9.57	054.63859123	-32.38003132
054.6428186917	-42.6789981350	 16994	 8.57	054.64277796	-42.67901651
054.6462609635	+48.5934851469	 16995	 8.64	054.64618335	+48.59355014
054.6495753768	+24.6016301494	 16996	 8.22	054.64956987	+24.60168683
054.6516077053	+74.7379915975	 16997	 7.49	054.65151297	+74.73786691
054.6551816975	-36.6821854305	 16998	 9.61	054.65465192	-36.68190514
054.6650733268	-75.7626527555	 16999	 7.68	054.66390232	-75.76288055
